Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million), Budget recovered, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
Fantastic Beasts & Where to Find Them,74,66,70.0,82,73,9,77.5,-7.5,Fantasy,Fantasy,adaptation,74.4,"74,403,387",208.7,"208,663,096",508.4,"508,409,307","717,072,403",717,70.90%,180,398%,41.34%,2016,,,https://www.amazon.com/Fantastic-Beasts-Where-Find-Them/dp/B01N0AEYU6/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640814&sr=1-1&keywords=Fantastic+Beasts+26+Where+to+Find+Them
Transformers: Revenge of the Fallen ,20,35,27.5,76,56,20,66,-38.5,action,"action, adventure, sci-fi",sequel,109.0,"109,000,000",402.1,"402,100,000",434.2,"434,200,000","836,300,000",836,51.92%,210,398%,51.90%,2009,,,http://www.amazon.com/gp/product/B002SARF94/?tag=titb-20
Captain Phillips,93,83,88.0,89,81,8,85,3,Action,"Action, Adventure, Biography, Drama, Thriller, Crime",based on a true story,25.7,"25,718,314",107.1,"107,100,855",111.7,"111,690,956","218,791,811",219,51.05%,55,398%,46.76%,2013,,,http://www.amazon.com/gp/product/B00HYTSTNU/?tag=titb-20
The Foreigner,61,55,58,75,70,5,72.5,-15,action,"action, thriller",adaptation,13.1,"13,113,024",34.3,"34,329,815",104.9,"104,900,000","139,229,815",139,75.34%,35,398%,37.47%,2017,,,-
The Lucky One,20,39,29.5,68,55,13,61.5,-32,romance,romance,adaptation,22.5,"22,518,358",60.5,"60,457,138",38.9,"38,900,000","99,357,138",99,39.15%,25,397%,90.07%,2012,,,http://www.amazon.com/gp/product/B00932A4N4/?tag=titb-20
Trainwreck,85,75,80,73,57,16,65,15,comedy,comedy,original screenplay,30.1,"30,097,040",110.0,"110,038,130",28.3,"28,288,853","138,326,983",138,20.45%,35,395%,85.99%,2015,,,http://www.amazon.com/gp/product/B017QHYW1W/?tag=titb-20
Ant-Man,80,64,72.0,89,80,9,84.5,-12.5,action,"action, adventure",adaptation,57.2,"57,225,526",179.3,"179,267,303",334.5,"334,500,000","513,767,303",514,65.11%,130,395%,44.02%,2015,,,http://www.amazon.com/gp/product/B015YJRQ8U/?tag=titb-20
Big Hero 6,89,74,81.5,92,80,12,86,-4.5,action,"action, adventure, sci-fi, comedy, animation, family",adaptation,56.2,"56,215,889",222.4,"222,431,643",429.6,"429,600,000","652,031,643",652,65.89%,165,395%,34.07%,2014,Oscar Winner,Best Animated Feature,http://www.amazon.com/gp/product/B00TYBBYK6/?tag=titb-20
The Revenant,82,76,79.0,84,80,4,82,-3.0,Adventure,Adventure,original screenplay,39.8,"39,826,840",183.6,"183,637,894",349.3,"349,312,609","532,950,503",533,65.54%,135,395%,29.50%,2015,Oscar Winner,"Actor in a Leading Role, Cinematography, Directing",https://www.amazon.com/Revenant-Leonardo-Dicaprio/dp/B01AB7GOD8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219490&sr=1-1&keywords=The+Revenant
House at the End of The Street,10,31,20.5,42,52,-10,47,-26.5,horror,"horror, mystery, thriller",original screenplay,12.3,"12,287,234",31.6,"31,611,916",7.9,"7,850,222","39,462,138",39,19.89%,10,395%,122.87%,2012,,,http://www.amazon.com/gp/product/B00AYB20KI/?tag=titb-20
Clash of the Titans,28,39,33.5,48,48,0,48,-14.5,action,"action, adventure, fantasy",remake / reboot,61.2,"61,200,000",163.2,"163,210,000",330.0,"330,000,000","493,210,000",493,66.91%,125,395%,48.96%,2010,,,http://www.amazon.com/gp/product/B003RV43X4/?tag=titb-20
How to Train Your Dragon: The Hidden World,90,71,81,88,83,5,86,-5,Action,"Action, Adventure",sequel,55.0,"55,022,245",156.7,"156,700,470",352.0,"352,000,000","508,700,470",509,69.20%,129,394%,42.65%,2019,,,https://www.amazon.co.uk/How-Train-Your-Dragon-Hidden/dp/B07ND42WCQ/ref=sr_1_1?keywords=How+to+Train+Your+Dragon3A+The+Hidden+World&qid=1557072419&s=instant-video&sr=1-1-catcorr
Hunter Killer,37,43,40,79,62,17,70.5,-31,Action,Action,adaptation,6.7,"6,653,777",15.8,"15,767,460",0.0,0,"15,767,460",158,0.00%,40,394%,-,2018,,,https://www.amazon.com/Hunter-Killer-Gerard-Butler/dp/B07L9FHQXM/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975030&sr=1-1&keywords=Hunter+Killer
This is the End,83,67,75.0,71,71,0,71,4,Action,"Action, Sci-Fi, Fantasy, Comedy",original screenplay,20.7,"20,719,162",101.5,"101,470,202",24.6,"24,571,120","126,041,120",126,19.49%,32,394%,64.75%,2013,,,http://www.amazon.com/gp/product/B00EP0MY64/?tag=titb-20
John Wick,85,68,76.5,80,79,1,79.5,-3,action,"action, thriller",original screenplay ,14.4,"14,415,922",43.0,"43,037,835",35.7,"35,702,062","78,739,897",79,45.34%,20,394%,72.08%,2014,,,http://www.amazon.com/gp/product/B00R8Q0KV8/?tag=titb-20
Halloween,26,47,36.5,59,57,2,58,-21.5,horror,horror,remake / reboot,26.4,"26,362,367",58.3,"58,272,029",20.2,"20,197,855","78,469,884",78,25.74%,20,392%,131.81%,2007,,,-
About Last Night (2014),68,62,65.0,66,61,5,63.5,1.5,drama,"drama, comedy, romance",adaptation,25.6,"25,649,011",48.6,"48,637,684",0.4,"365,000","49,002,684",49,0.74%,13,392%,205.19%,2014,,,http://www.amazon.com/gp/product/B00IGE5IG8/?tag=titb-20
The Wolf of Wall Street,77,75,76.0,82,78,4,80,-4,Biography,"Biography, Drama, Comedy, Crime",based on a true story,18.4,"18,361,578",116.9,"116,900,694",275.1,"275,100,000","392,000,694",392,70.18%,100,392%,18.36%,2013,,,http://www.amazon.com/gp/product/B00IIUATDM/?tag=titb-20
Scary Movie 5,4,11,7.5,39,25,14,32,-24.5,Comedy,"Thriller, Horror, Comedy",sequel,14.2,"14,157,367",32.0,"32,015,787",46.4,"46,362,957","78,378,744",78,59.15%,20,392%,70.79%,2013,,,http://www.amazon.com/gp/product/B00EAZCQ8K/?tag=titb-20
Jumanji: The Next Level,71,58,65,87,64,23,76,-11,Action,"Action, Adventure, Comedy",sequel,59.3,"59,251,543",192.1,"192,076,805",297.3,"297,295,047","489,371,852",489,60.75%,125,391%,47.40%,2019,,,https://www.amazon.co.uk/Jumanji-Next-Level-Dwayne-Johnson/dp/B0825CCP1Z/ref=sr_1_2?crid=32SDFJT8YCWX6&keywords=jumanji+the+next+level&qid=1577973625&s=instant-video&sprefix=Jumanji3A+The+Next+Level2Cinstant-video2C144&sr=1-2
Pineapple Express,68,64,66,74,71,3,72.5,-6.5,action,"action, comedy, crime",original screenplay,23.2,"23,200,000",87.3,"87,340,000",14.3,"14,280,000","101,620,000",102,14.05%,26,391%,89.23%,2008,,,http://www.amazon.com/gp/product/B00DC5OICG/?tag=titb-20
"Love, Simon",92,72,82,89,82,7,85.5,-4,Drama,Drama,adaptation,11.8,"11,756,244",40.8,"40,826,341",25.5,"25,476,084","66,302,425",663,38.42%,17,390%,69.15%,2018,,,https://www.amazon.com/Love-Simon-Nick-Robinson/dp/B07B427P5V/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975610&sr=1-2&keywords=Love2C+Simon
The LEGO Batman Movie,91,75,83,80,76,4,78,5,animation,animation,sequel,53.0,"53,003,468",175.8,"175,750,384",136.2,"136,200,000","311,950,384",312,43.66%,80,390%,66.25%,2017,,,https://www.amazon.co.uk/LEGO-Batman-Movie-Will-Arnett/dp/B01MZGF2DX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981581&sr=1-1&keywords=The+LEGO+Batman+Movie
I Am Legend,69,65,67.0,68,71,-3,69.5,-2.5,sci-fi,"sci-fi, horror",adaptation,77.2,"77,211,321",256.4,"256,393,010",327.8,"327,762,415","584,155,425",584,56.11%,150,389%,51.47%,2007,,,http://www.amazon.co.uk/I-Am-Legend-Will-Smith/dp/B00FYO7S4S/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386082&sr=1-1&keywords=I+Am+Legend
Ice Age: Collision Course,13,34,23.5,40,44,-4,42,-18.5,Adventure,Adventure,sequel,21.4,"21,373,064",64.1,"64,063,008",343.4,"343,383,010","407,446,018",407,84.28%,105,388%,20.36%,2016,,,https://www.amazon.com/Ice-Age-Collision-Ray-Romano/dp/B01IS5QPXE/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219161&sr=1-1&keywords=Ice+Age3A+Collision+Course
Teenage Mutant Ninja Turtles,21,31,26.0,53,50,3,51.5,-25.5,action,"action, adventure, sci-fi, fantasy, comedy, animation",original screenplay ,65.6,"65,575,105",191.2,"191,204,754",293.8,"293,800,000","485,004,754",485,60.58%,125,388%,52.46%,2014,,,http://www.amazon.com/gp/product/B00R2Z3SZA/?tag=titb-20
Sing,69,59,64.0,75,52,23,63.5,0.5,Animation,Animation,original screenplay,35.3,"35,258,145",187.0,"187,037,310",103.7,"103,705,860","290,743,170",291,35.67%,75,388%,47.01%,2016,,,https://www.amazon.com/Sing-Matthew-McConaughey/dp/B01NCIFSMT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483641241&sr=1-1&keywords=Sing
The Danish Girl,69,66,67.5,73,68,5,70.5,-3.0,Drama,Drama,adaptation,0.2,"187,318",5.1,"5,063,669",53.1,"53,077,505","58,141,174",58,91.29%,15,388%,1.25%,2016,Oscar Winner,Actress in a Supporting Role,https://www.amazon.com/Danish-Girl-Eddie-Redmayne/dp/B01AZ2636M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481217923&sr=1-1&keywords=The+Danish+Girl
The Bucket List,41,42,41.5,77,74,3,75.5,-34,thriller,thriller,original screenplay,19.4,"19,392,416",93.5,"93,466,502",80.8,"80,843,791","174,310,293",174,46.38%,45,387%,43.09%,2007,,,http://www.amazon.co.uk/Bucket-List-Jack-Nicholson/dp/B00EU76FIA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386594&sr=1-1&keywords=The+Bucket+List
Contraband,51,51,51.0,58,60,-2,59,-8,action,"action, crime, drama",remake / reboot,24.3,"24,349,815",66.5,"66,528,000",29.7,"29,734,212","96,262,212",96,30.89%,25,385%,97.40%,2012,,,http://www.amazon.com/gp/product/B007X16GFC/?tag=titb-20
2012,39,49,44.0,63,54,9,58.5,-14.5,action,"action, adventure, sci-fi",original screenplay,65.3,"65,300,000",166.1,"166,120,000",603.6,"603,570,000","769,690,000",770,78.42%,200,385%,32.65%,2009,,,http://www.amazon.com/gp/product/B00S4P24GQ/?tag=titb-20
Bride Wars ,11,24,17.5,56,37,19,46.5,-29,comedy,"comedy, romance",original screenplay,21.1,"21,100,000",58.8,"58,750,000",56.0,"55,950,000","115,150,000",115,48.59%,30,384%,70.33%,2009,,,http://www.amazon.com/gp/product/B0027W8T7K/?tag=titb-20
The Hobbit: The Battle of the Five Armies,61,59,60.0,76,70,6,73,-13,adventure,"adventure, fantasy",sequel,54.7,"54,724,334",255.1,"255,119,788",700.0,"700,000,000","955,119,788",955,73.29%,250,382%,21.89%,2014,,,http://www.amazon.com/gp/product/B015K53VXW/?tag=titb-20
Twilight: Breaking Dawn,26,45,35.5,68,43,25,55.5,-20.0,adventure,"adventure, fantasy",sequel,138.1,"138,120,000",281.3,"281,290,000",430.9,"430,880,000","419,410,281",419,102.73%,110,381%,125.56%,2011,,,http://www.amazon.com/gp/product/B00BLQQQJ6/?tag=titb-20
Hope Springs,74,65,69.5,56,67,-11,61.5,8,comedy,"comedy, romance",original screenplay,14.7,"14,650,121",63.5,"63,536,011",50.7,"50,745,040","114,281,051",114,44.40%,30,381%,48.83%,2012,,,http://www.amazon.com/gp/product/B00AHSINKO/?tag=titb-20
Kingsman: The Golden Circle,51,44,48,68,66,2,67,-20,action,"action, comedy","sequel, adaptation",39.0,"39,023,010",100.1,"100,148,463",295.2,"295,224,607","395,373,070",395,74.67%,104,380%,37.52%,2017,,,https://www.amazon.co.uk/Kingsman-Golden-Circle-Colin-Firth/dp/B075MN78VR/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978535&sr=1-1&keywords=Kingsman3A+The+Golden+Circle
Hobbs and Shaw,67,60,64,88,66,22,77,-14,Action,Action,sequel,60.0,"60,038,950",173.8,"173,810,100",585.1,"585,100,000","758,910,100",759,77.10%,200,379%,30.02%,2019,,,https://www.amazon.co.uk/Fast-Furious-Hobbs-Dwayne-Johnson/dp/B07WHJFN3L/ref=sr_1_1?crid=3HRB3SJOA6JPD&keywords=fast+26+furious+presents+hobbs+26+shaw&qid=1577973429&s=instant-video&sprefix=Fast+26+Furious+Presents3A+Hobbs+and+Shaw2Cinstant-video2C147&sr=1-1
Thor: The Dark World,65,54,59.5,78,74,4,76,-16.5,Action,"Action, Adventure, Fantasy",sequel,85.7,"85,737,841",206.4,"206,362,140",438.2,"438,209,262","644,783,140",645,67.96%,170,379%,50.43%,2013,,,http://www.amazon.com/gp/product/B00IMYZL2S/?tag=titb-20
Vantage Point,35,66,50.5,61,83,-22,72,-21.5,action,"action, crime, thriller",original screenplay,22.9,"22,870,000",72.3,"72,270,000",78.9,"78,900,000","151,170,000",151,52.19%,40,378%,57.18%,2008,,,http://www.amazon.com/gp/product/B001DIZPXA/?tag=titb-20
The Forest,76,34,55.0,42,71,-29,56.5,-1.5,thriller,thriller,original screenplay,12.7,"12,741,176",26.6,"26,594,261",11.0,"11,014,038","37,608,299",38,29.29%,10,376%,127.41%,2016,,,https://www.amazon.com/Forest-Natalie-Dormer/dp/B01D5FLDH0/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218740&sr=1-1&keywords=The+Forest
Teen Titans Go! To The Movies,90,69,80,72,64,8,68,12,Adventure,Adventure,adaptation,10.4,"10,411,189",28.2,"28,235,020",9.4,"9,369,213","37,604,233",376,24.92%,10,376%,104.11%,2018,,,https://www.amazon.com/Teen-Titans-Movies-Greg-Cipes/dp/B07JBKDS5Q/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974922&sr=1-1&keywords=Teen+Titans+Go21+To+The+Movies
X-Men: Days of Future Past,91,74,82.5,92,83,9,87.5,-5,action,"action, adventure, sci-fi, thriller, fantasy",sequel,90.8,"90,823,660",233.9,"233,921,534",514.2,"514,200,000","748,121,534",748,68.73%,200,374%,45.41%,2014,,,http://www.amazon.com/gp/product/B00OH74BXY/?tag=titb-20
Harry Potter and the Half-Blood Prince ,83,78,80.5,75,69,6,72,8.5,adventure,"adventure, family, fantasy",sequel,77.8,"77,800,000",302.0,"302,000,000",632.0,"632,000,000","934,000,000",934,67.67%,250,374%,31.12%,2009,,,http://www.amazon.com/gp/product/B0091X4EYK/?tag=titb-20
Lone Survivor,75,60,67.5,87,75,12,81,-13.5,Action,"Action, Biography, Drama, Thriller, War",adaptation,0.1,"90,872",125.1,"125,095,601",24.2,"24,200,000","149,295,601",149,16.21%,40,373%,0.23%,2013,,,http://www.amazon.com/gp/product/B00JX1ROME/?tag=titb-20
Tyler Perry's Why Did I get Married,46,54,50,78,78,0,78,-28,comedy,comedy,adaptation,21.4,"21,353,789",55.2,"55,204,525",0.7,"658,361","55,862,886",56,1.18%,15,372%,142.36%,2007,,,-
21 and Over,27,34,30.5,47,54,-7,50.5,-20,Comedy,Comedy,original screenplay,8.8,"8,754,168",25.7,"25,682,380",22.4,"22,383,292","48,383,672",48,46.26%,13,372%,67.34%,2013,,,http://www.amazon.com/gp/product/B00DGNOJ00/?tag=titb-20
Now You See Me 2,34,46,40.0,55,64,-9,59.5,-19.5,thriller,thriller,sequel,22.4,"22,383,146",65.1,"65,075,540",269.8,"269,819,311","334,894,851",335,80.57%,90,372%,24.87%,2016,,,https://www.amazon.com/Now-You-See-Me-2/dp/B01GPH7UFO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219173&sr=1-1&keywords=Now+You+See+Me+2
Michael Clayton,90,82,86,69,78,-9,73.5,12.5,thriller,thriller,original screenplay,0.7,"719,910",49.0,"49,033,882",44.0,"43,957,953","92,991,835",93,47.27%,25,372%,2.88%,2007,Oscar Winner,Best Supporting Actress,-
Kung Fu Panda 3,87,66,76.5,79,75,4,77,-0.5,Adventure,Adventure,sequel,41.3,"41,282,042",143.5,"143,528,619",376.4,"376,352,736","519,881,355",520,72.39%,140,371%,29.49%,2016,,,https://www.amazon.com/Kung-Fu-Panda-Jack-Black/dp/B01B5I1A5Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219446&sr=1-1&keywords=Kung+Fu+Panda+3
Tyler Perry's The Family That Preys,51,49,50,36,88,-52,62,-12,drama,drama,original screenplay,17.4,"17,380,000",37.1,"37,110,000",0.0,0,"37,105,289",37,0.00%,10,371%,173.80%,2008,,,http://www.amazon.com/gp/product/B001OFIG2Y/?tag=titb-20
Into the Wild,82,73,77.5,89,82,7,85.5,-8,adventure,adventure,adaptation,0.2,"212,440",18.4,"18,354,356",37.3,"37,280,210","55,634,566",56,67.01%,15,371%,1.42%,2007,,,http://www.amazon.co.uk/INTO-WILD-Emile-Hirsch/dp/B00FYOAO4E/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386144&sr=1-1&keywords=Into+the+Wild
Resident Evil: Retribution,31,39,35.0,51,50,1,50.5,-15.5,action,"action, horror, sci-fi",sequel,21.1,"21,052,227",42.3,"42,345,531",197.8,"197,813,724","240,159,255",240,82.37%,65,369%,32.39%,2012,,,http://www.amazon.com/gp/product/B00APUQMD4/?tag=titb-20
Monsters University,78,65,71.5,82,78,4,80,-8.5,Adventure,"Adventure, Fantasy, Comedy, Animation, Family",sequel,82.4,"82,429,469",268.5,"268,492,764",475.7,"475,736,673","738,892,764",739,64.39%,200,369%,41.21%,2013,,,http://www.amazon.com/gp/product/B00G9U7NEQ/?tag=titb-20
Obsessed ,20,25,22.5,50,53,-3,51.5,-29,thriller,thriller,original screenplay,28.6,"28,600,000",68.3,"68,260,000",5.6,"5,560,000","73,820,000",74,7.53%,20,369%,143.00%,2009,,,http://www.amazon.com/gp/product/B002KCYIEA/?tag=titb-20
Midnight in Paris,93,81,87.0,84,78,6,81,6,comedy,"comedy, fantasy, romance",original screenplay,5.8,"5,830,000",56.8,"56,820,000",94.3,"94,300,000","62,650,057",63,150.52%,17,369%,34.29%,2011,Oscar Winner,Best Original Screenplay,http://www.amazon.com/gp/product/B006O5Y09C/?tag=titb-20
Shutter Island,68,63,65.5,73,77,-4,75,-9.5,thriller,"mystery, thriller",adaptation,41.0,"41,000,000",128.0,"128,010,000",166.8,"166,790,000","294,800,000",295,56.58%,80,369%,51.25%,2010,,,http://www.amazon.com/gp/product/B003NTSBUG/?tag=titb-20
Knowing ,33,41,37.0,50,61,-11,55.5,-18.5,sci-fi,"mystery, sci-fi",original screenplay,24.6,"24,600,000",80.0,"79,950,000",103.6,"103,630,000","183,580,000",184,56.45%,50,367%,49.20%,2009,,,http://www.amazon.com/gp/product/B002GGKBT6/?tag=titb-20
Ocean's 13,70,62,66,75,64,11,69.5,-3.5,crime,"crime, comedy",sequel,36.1,"36,133,403",117.2,"117,154,724",194.2,"194,157,900","311,312,624",311,62.37%,85,366%,42.51%,2007,,,http://www.amazon.co.uk/Oceans-Thirteen-George-Clooney/dp/B00HNYCP90/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386359&sr=1-1&keywords=Ocean27s+13
Tyler Perry's A Madea Family Funeral,13,39,26,24,37,-13,31,-5,Comedy,Comedy,original screenplay,27.1,"27,062,332",72.1,"72,090,992",1.1,"1,136,218","73,227,210",73,1.55%,20,366%,135.31%,2019,,,https://www.amazon.co.uk/Tyler-Perrys-Madea-Family-Funeral/dp/B07S86XJD4/ref=sr_1_1?keywords=Tyler+Perry27s+A+Madea+Family+Funeral&qid=1577974532&s=instant-video&sr=1-1
The Kite Runner,66,61,63.5,84,79,5,81.5,-18,drama,drama,adaptation,0.5,"471,713",15.8,"15,800,078",57.4,"57,393,800","73,193,878",73,78.41%,20,366%,2.36%,2007,,,http://www.amazon.co.uk/KITE-RUNNER-Khalid-Abdalla/dp/B00FZ3SE2I/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386669&sr=1-1&keywords=The+Kite+Runner
The Intruder,32,39,36,70,47,23,59,-23,thriller,Thriller,original screenplay,10.9,"10,855,054",35.4,"35,388,976",1.2,"1,180,239","36,569,215",37,3.23%,10,366%,108.55%,2019,,,https://www.amazon.co.uk/Intruder-Dennis-Quaid/dp/B07RG5VS6L/ref=sr_1_1?keywords=The+Intruder&qid=1577974400&s=instant-video&sr=1-1
Music and Lyrics,63,59,61.0,68,83,-15,75.5,-14.5,romance,romantic comedy,original screenplay,13.6,"13,623,630",50.6,"50,572,589",95.3,"95,323,833","145,896,422",146,65.34%,40,365%,34.06%,2007,,,http://www.amazon.co.uk/Music-Lyrics-Hugh-Grant/dp/B00I70JJIY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386273&sr=1-1&keywords=Music+and+Lyrics
Manchester by the Sea,97,96,96.5,81,79,2,80,16.5,Drama,Drama,original screenplay,0.3,"256,498",30.3,"30,308,167",0.7,"672,483","30,980,650",31,2.17%,9,364%,3.02%,2016,,,https://www.amazon.com/Manchester-Sea-Casey-Affleck/dp/B01M6BFCRC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640884&sr=1-1&keywords=Manchester+by+the+Sea
Diary of a Wimpy Kid 2: Rodrick Rules,47,51,49,63,72,-9,67.5,-18.5,comedy,"comedy, family",sequel,23.8,"23,750,000",52.7,"52,700,000",19.7,"19,720,000","76,450,053",76,25.79%,21,364%,113.10%,2011,,,http://www.amazon.com/gp/product/B00574P9EQ/?tag=titb-20
Jack Reacher,61,50,55.5,67,62,5,64.5,-9,action,"action, crime, thriller",adaptation,15.2,"15,210,156",80.1,"80,070,736",138.3,"138,269,859","218,340,595",218,63.33%,60,364%,25.35%,2012,,,http://www.amazon.com/gp/product/B00COGY2P2/?tag=titb-20
Limitless,69,59,64.0,73,72,1,72.5,-8.5,sci-fi,"mystery, sci-fi, thriller",adaptation,18.9,"18,910,000",79.3,"79,250,000",82.6,"82,600,000","98,160,079",98,84.15%,27,364%,70.04%,2011,,,http://www.amazon.com/gp/product/B005DD7TI0/?tag=titb-20
Transporter 3,36,51,43.5,58,57,1,57.5,-14,action,"action, adventure, crime",sequel,12.1,"12,060,000",31.7,"31,720,000",77.3,"77,260,000","108,980,000",109,70.89%,30,363%,40.20%,2008,,,http://www.amazon.com/gp/product/B001RPC8B6/?tag=titb-20
The Secret Life of Bees,56,57,56.5,78,84,-6,81,-24.5,drama,drama,adaptation,10.5,"10,530,000",37.8,"37,770,000",2.2,"2,180,000","39,950,000",40,5.46%,11,363%,95.73%,2008,,,http://www.amazon.com/gp/product/B001RG8II2/?tag=titb-20
The Girl on the Train,44,48,46.0,54,61,-7,57.5,-11.5,thriller,thriller,adaptation,24.5,"24,536,265",73.5,"73,466,229",89.8,"89,794,593","163,260,822",163,55.00%,45,363%,54.53%,2016,,,https://www.amazon.com/Girl-Train-Emily-Blunt/dp/B01M7V9R51/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219228&sr=1-1&keywords=The+Girl+on+the+Train
Spy,93,75,84.0,81,58,23,69.5,14.5,comedy,comedy,original screenplay,29.1,"29,085,719",110.8,"110,825,712",124.8,"124,840,507","235,666,219",236,52.97%,65,363%,44.75%,2015,,,http://www.amazon.com/gp/product/B013EZQV6E/?tag=titb-20
Harold and Kumar Escape from Guantanamo Bay,54,57,55.5,65,75,-10,70,-14.5,adventure,"adventure, comedy",sequel,14.9,"14,910,000",38.1,"38,110,000",5.4,"5,380,000","43,490,000",43,12.37%,12,362%,124.25%,2008,,,http://www.amazon.com/gp/product/B003KARYYC/?tag=titb-20
No Strings Attached,49,50,49.5,57,54,3,55.5,-6,comedy,"comedy, romance",original screenplay,19.7,"19,700,000",70.7,"70,660,000",78.6,"78,570,000","90,360,071",90,86.95%,25,361%,78.80%,2011,,,http://www.amazon.com/gp/product/B00503BN1M/?tag=titb-20
The Bye Bye Man,23,37,30,23,33,-10,28,2,horror,"horror, thriller",adaptation,13.5,"13,501,349",22.4,"22,395,806",4.3,"4,271,391","26,667,197",27,16.02%,7,360%,182.45%,2017,,,https://www.amazon.co.uk/Bye-Man-Douglas-Smith/dp/B06XSMTT3T/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981621&sr=1-1&keywords=The+Bye+Bye+Man
Breakthrough,61,46,54,81,68,13,75,-21,Drama,Drama,adaptation,11.3,"11,282,333",40.7,"40,713,082",9.7,"9,731,276","50,444,358",50,19.29%,14,360%,80.59%,2019,,,https://www.amazon.co.uk/Breakthrough-Roxann-Dawson/dp/B07RRR91JF/ref=sr_1_1?keywords=Breakthrough&qid=1577973212&s=instant-video&sr=1-1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",62,54,58.0,60,54,6,57,1,comedy,"comedy, family",adaptation,18.4,"18,360,230",67.0,"66,954,149",33.7,"33,700,000","100,654,000",101,33.48%,28,359%,65.57%,2014,,,http://www.amazon.com/gp/product/B00ST1Q90C/?tag=titb-20
Tyler Perry’s Boo! A Madea Halloween,22,30,26.0,59,50,9,54.5,-28.5,Comedy,Comedy,original screenplay,28.5,"28,501,448",70.5,"70,537,890",1.3,"1,338,205","71,876,095",72,1.86%,20,359%,142.51%,2016,,,https://www.amazon.com/Boo-Madea-Halloween-Tyler-Perry/dp/B01M59JF0W/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219201&sr=1-1&keywords=Tyler+PerryE28099s+Boo21+A+Madea+Halloween
Paul Blart: Mall Cop 2,5,13,9,36,24,12,30,-21,comedy,comedy,sequel,23.8,"23,762,435",71.0,"71,038,190",36.5,"36,492,537","107,530,727",108,33.94%,30,358%,79.21%,2015,,,http://www.amazon.com/gp/product/B00W96OEV4/?tag=titb-20
Hacksaw Ridge,87,71,79.0,95,86,9,90.5,-11.5,Drama,Drama,based on a true story,15.2,"15,190,758",64.9,"64,944,345",78.4,"78,360,000","143,304,345",143,54.68%,40,358%,37.98%,2016,,,https://www.amazon.com/Hacksaw-Ridge-Andrew-Garfield/dp/B01MCXX4K5/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218880&sr=1-1&keywords=Hacksaw+Ridge
The Big Short,88,81,84.5,88,82,6,85,-0.5,Drama,Drama,based on a true story,10.5,"10,531,026",37.2,"37,204,389",63.1,"63,086,636","100,291,025",100,62.90%,28,358%,37.61%,2016,Oscar Winner,Writing (adapted screenplay),https://www.amazon.com/Big-Short-Christian-Bale/dp/B019969US8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218942&sr=1-1&keywords=The+Big+Short
Black Christmas,40,50,45,31,19,12,25,20,thriller,"Thriller, Horror",remake / reboot,4.2,"4,240,245",9.7,"9,747,760",8.1,"8,100,000","17,847,760",18,45.38%,5,357%,84.80%,2019,,,https://www.amazon.co.uk/Black-Christmas-Imogen-Poots/dp/B0829CKDF1/ref=sr_1_1?crid=3HP1MJCDF1006&keywords=black+christmas+2019&qid=1577973167&s=instant-video&sprefix=Black+Christma2Cinstant-video2C144&sr=1-1
