title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
The Batman,771,385%,3.9,200,369,47.9%,401,52.1%,"770,836,163",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=309,"https://en.wikipedia.org/wiki/The_Batman_(film)#:~:text=The%20film%20was%20a%20commercial,highest%2Dgrossing%20film%20of%202022.",,not horror
The Best Exotic Marigold Hotel,137,1368%,13.7,10.0,46.4,33.9%,90.4,66.1%,"136,836,156",2012,2010's,,,,not horror
The Big Sick,55,1105%,11.1,5.0,42.9,77.6%,12.4,22.4%,"55,263,649",2017,2010's,,,,not horror
The Blind Side ,309,1066%,10.7,29.0,256.0,82.8%,53.2,17.2%,"309,200,000",2009,2000's,,,,not horror
The Bodyguard,411,1644%,16.4,25,122,29.7%,289,70.3%,"411,046,449",1992,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=513,https://www.imdb.com/title/tt0103855/,,not horror
The Boss Baby,528,422%,4.2,125,175,33.2%,353,66.8%,"527,965,936",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=413,"https://en.wikipedia.org/wiki/The_Boss_Baby#:~:text=It%20grossed%20%24528%20million%20worldwide,all%20three%20awards%20to%20Coco.",,not horror
The Bourne Ultimatum,444,404%,4.0,110,227,51.2%,217,48.8%,"444,100,035",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=478,https://en.wikipedia.org/wiki/The_Bourne_Ultimatum_(film),,not horror
The Boy Next Door,50,1254%,12.5,4.0,35.4,70.6%,14.7,29.4%,"50,163,103",2015,2010's,,,,not horror
The Campaign,105,1049%,10.5,10.0,86.9,82.8%,18.0,17.2%,"104,907,746",2012,2010's,,,,not horror
The Conjuring,320,1602%,16.0,20,137,42.9%,183,57.1%,"320,406,242",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=679,https://en.wikipedia.org/wiki/The_Conjuring,,horror
The Conjuring 2,322,805%,8.0,40,103,31.8%,219,68.2%,"321,834,351",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=673,https://en.wikipedia.org/wiki/The_Conjuring_2,,horror
The Croods,587,336%,3.4,175,187,31.9%,400,68.1%,"587,235,983",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=379,https://en.wikipedia.org/wiki/The_Croods,,not horror
The Curious Case of Benjamin Button,336,224%,2.2,150,128,38.0%,208,62.0%,"335,802,786",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=645,"https://en.wikipedia.org/wiki/The_Curious_Case_of_Benjamin_Button_(film)#:~:text=The%20film%20was%20a%20box,Supporting%20Actress%20for%20Taraji%20P.",,not horror
The Curse of La Llorona,122.1,1357%,13.6,9.0,54.7,44.8%,67.4,55.2%,"122,133,739",2019,2010's,,,,horror
The Da Vinci Code,760,608%,6.1,125,218,28.6%,542,71.4%,"760,006,945",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=312,https://en.wikipedia.org/wiki/The_Da_Vinci_Code_(film),,not horror
The Dark Knight,1006,544%,5.4,185,535,53.2%,471,46.8%,"1,006,234,167",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=249,https://en.wikipedia.org/wiki/The_Dark_Knight,,not horror
The Dark Knight Rises,1081,360%,3.6,300,448,41.4%,633,58.6%,"1,081,169,825",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=233,https://en.wikipedia.org/wiki/The_Dark_Knight_Rises,,not horror
The Day After Tomorrow,553,442%,4.4,125,187,33.8%,366,66.2%,"552,639,571",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=395,https://en.wikipedia.org/wiki/The_Day_After_Tomorrow,,not horror
The Death of Stalin,246,1895%,19.0,13.0,8.0,3.3%,16.6,6.7%,"24,640,027",2017,2010's,,,,not horror
The Devil Inside,102,10176%,101.8,1.0,53.3,52.3%,48.5,47.7%,"101,758,490",2012,2010's,,,,horror
The Devil Wears Prada,327,933%,9.3,35,125,38.2%,202,61.8%,"326,706,115",2006,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=666,"https://en.wikipedia.org/wiki/The_Devil_Wears_Prada_(film)#:~:text=The%20film%20grossed%20over%20%24326,grossing%20film%20worldwide%20in%202006.",,not horror
The Exorcist,441,3678%,36.8,12,233,52.8%,208,47.2%,"441,306,145",1973,1970's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=482,https://en.wikipedia.org/wiki/The_Exorcist,,horror
The Expendables 2,315,315%,3.1,100,85,27.0%,230,73.0%,"314,975,955",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=688,https://en.wikipedia.org/wiki/The_Expendables_2,,not horror
The Fate of the Furious,1236,458%,4.6,270,226,18.3%,"1,010",81.7%,"1,236,005,118",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=220,"https://en.wikipedia.org/wiki/The_Fate_of_the_Furious#:~:text=With%20an%20estimated%20production%20budget,Walker's%20death%20in%20November%202013.",,not horror
The Fault in our Stars,307,2560%,25.6,12.0,124.9,40.6%,182.4,59.4%,"307,239,013",2014,2010's,,,,not horror
The First Purge,133,1023%,10.2,13.0,68.9,51.8%,64.1,48.2%,"133,015,065",2018,2010's,,,,horror
The Flintstones,342,743%,7.4,46,131,38.2%,211,61.8%,"341,631,208",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=638,https://en.wikipedia.org/wiki/The_Flintstones_(film),,not horror
The Force Awakens,2070,676%,6.8,306,937,45.3%,"1,133",54.7%,"2,069,521,700",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=203,https://en.wikipedia.org/wiki/Star_Wars:_The_Force_Awakens,,not horror
The Fugitive,369,838%,8.4,44,184,49.8%,185,50.2%,"368,875,760",1993,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=579,"https://en.wikipedia.org/wiki/The_Fugitive_(1993_film)#:~:text=The%20Fugitive%20premiered%20in%20Westwood,against%20a%20%2444%20million%20budget.",,not horror
The Gallows,38,38164%,381.6,0.100,22.8,59.6%,15.4,40.4%,"38,164,410",2015,2010's,,,,horror
The Gift,59,1180%,11.8,5.0,43.8,74.2%,15.2,25.8%,"58,978,653",2015,2010's,,,,not horror
The Golden Compass,372,207%,2.1,180,70,18.8%,302,81.2%,"372,234,864",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=571,"https://en.wikipedia.org/wiki/The_Golden_Compass_(film)#:~:text=With%20a%20production%20budget%20of,the%20film%20in%20post%2Dproduction.",,not horror
The Good Dinosaur,332,166%,1.7,200,123,37.0%,209,63.0%,"332,207,671",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=655,https://en.wikipedia.org/wiki/The_Good_Dinosaur,,not horror
The Great Gatsby,354,186%,1.9,190,145,41.0%,209,59.0%,"353,659,851",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=609,https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film),,not horror
The Greatest Showman,436,519%,5.2,84,174,40.0%,261,60.0%,"435,732,529",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=487,"https://en.wikipedia.org/wiki/The_Greatest_Showman#:~:text=Reception-,Box%20office,production%20budget%20of%20%2484%20million.",,not horror
The Grinch,513,684%,6.8,75,271,52.9%,241,47.1%,"512,858,819",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=423,https://www.google.com/search?q=the+grinch+budget&oq=the+grinch+budget&aqs=chrome..69i57j0i512j0i22i30l4.1981j0j4&sourceid=chrome&ie=UTF-8,,not horror
The Hangover,469,1341%,13.4,35,277,59.1%,192,40.9%,"469,328,079",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=455,https://en.wikipedia.org/wiki/The_Hangover,,not horror
The Hangover Part II,587,733%,7.3,80,254,43.4%,332,56.6%,"586,764,305",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=380,"https://en.wikipedia.org/wiki/The_Hangover_Part_II#:~:text=The%20Hangover%20Part%20II%20grossed,a%20budget%20of%20%2480%20million.",,not horror
The Hangover Part III,362,351%,3.5,103,112,31.0%,250,69.0%,"362,000,072",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=593,"https://en.wikipedia.org/wiki/The_Hangover_Part_III#:~:text=The%20Hangover%20Part%20III%20grossed,a%20budget%20of%20%24103%20million.",,not horror
The Hobbit: An Unexpected Journey,1017,565%,5.7,180,303,29.8%,714,70.2%,"1,017,030,651",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=248,https://en.wikipedia.org/wiki/The_Hobbit:_An_Unexpected_Journey,,not horror
The Hobbit: The Battle of the Five Armies,962,321%,3.2,300,255,26.5%,707,73.5%,"962,201,338",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=255,https://en.wikipedia.org/wiki/The_Hobbit:_The_Battle_of_the_Five_Armies,,not horror
The Hobbit: The Desolation of Smaug,959,384%,3.8,250,258,26.9%,701,73.1%,"959,027,992",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=257,https://www.google.com/search?q=hobbit+desolation+of+smaug+budget&ei=EJ-MY73DGreBhbIPr82x2A4&ved=0ahUKEwi9i4Kxh-D7AhW3QEEAHa9mDOsQ4dUDCA8&uact=5&oq=hobbit+desolation+of+smaug+budget&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIFCAAQgAQyBQgAEIYDMgUIABCGAzIFCAAQhgM6CggAEEcQ1gQQsAM6BwguEEMQ6gQ6BQgAEJECOgUILhCRAjoECC4QQzoLCAAQgAQQsQMQgwE6CAguELEDEIMBOhEILhCABBCxAxCDARDHARDRAzoICC4QgAQQ1AI6EgguEEMQ6gQQ3AQQ3gQQ3wQYAToKCC4QsQMQQxDqBDoECAAQQzoHCC4Q1AIQQzoVCC4QsQMQQxDqBBDcBBDeBBDfBBgBOggILhCPARDqAjoICAAQjwEQ6gI6DgguEMcBEK8BEJECEOoEOgoIABCxAxDJAxBDOgcIABCxAxBDOgoILhDHARCvARBDOhkILhDHARCvARCRAhDqBBDcBBDeBBDgBBgBOgsILhCABBCxAxCDAToUCC4QgAQQsQMQgwEQxwEQ0QMQ1AI6CAguEIAEELEDOggILhDUAhCABDoSCC4QQxDqBBDcBBDeBBDgBBgBOhAILhCxAxCDARDHARDRAxBDOgoILhCxAxDUAhBDOgoILhCxAxCDARBDOhMILhCxAxCDARDHARDRAxBDEOoEOh4ILhCxAxCDARDHARDRAxBDEOoEENwEEN4EEOAEGAE6DQguENQCELEDEEMQ6gQ6BwguELEDEEM6EAguELEDEMcBEK8BENQCEEM6GAguENQCELEDEEMQ6gQQ3AQQ3gQQ4AQYAToQCC4QrwEQxwEQ1AIQsQMQQzoLCC4QxwEQrwEQkQI6FQguELEDEEMQ6gQQ3AQQ3gQQ4AQYAToICC4QkQIQ6gQ6EwguEJECEOoEENwEEN4EEOAEGAE6BwgAEIAEEAo6BggAEBYQHjoICAAQFhAeEA86BQghEKABOgcILhCABBAKOgUILhCABDoICC4QgAQQ6gQ6EwguEIAEEOoEENwEEN4EEOAEGAFKBAhBGABKBAhGGAFQ5ARYhVJggFRoGHABeACAAaIBiAG6GJIBBDM3LjOYAQCgAQGwAQrIAQjAAQHaAQYIARABGBQ&sclient=gws-wiz-serp,,not horror
The Hunchback of Notre Dame,325,465%,4.6,70,100,30.8%,225,69.2%,"325,338,851",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=668,https://en.wikipedia.org/wiki/The_Hunchback_of_Notre_Dame_(1996_film),,not horror
The Hunger Games,694,890%,8.9,78,408,58.8%,286,41.2%,"694,394,724",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=337,https://en.wikipedia.org/wiki/The_Hunger_Games_(film),,not horror
The Hunger Games: Catching Fire,865,1109%,11.1,78,425,49.1%,440,50.9%,"865,011,746",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=279,,,not horror
The Imitation Game,220,1571%,15.7,14.0,91.1,41.4%,128.9,58.6%,"219,979,959",2014,2010's,,,,not horror
The Incredibles,632,436%,4.4,145,261,41.4%,370,58.6%,"631,607,053",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=358,https://en.wikipedia.org/wiki/The_Incredibles,,not horror
The Jungle Book (2016),967,546%,5.5,177,364,37.7%,603,62.3%,"966,554,929",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=253,https://en.wikipedia.org/wiki/The_Jungle_Book_(2016_film),,not horror
The Karate Kid,359,898%,9.0,40,177,49.2%,183,50.8%,"359,126,022",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=598,https://en.wikipedia.org/wiki/The_Karate_Kid_(2010_film),,not horror
The King's Speech,427,2849%,28.5,15,139,32.5%,289,67.5%,"427,374,317",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=495,https://en.wikipedia.org/wiki/The_King%27s_Speech,,not horror
The King's Speech,139,925%,9.3,15.0,138.8,100.0%,275.4,198.4%,"414,200,000",2010,2010's,,,,not horror
The Last Airbender,320,213%,2.1,150,132,41.2%,188,58.8%,"319,713,881",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=682,"https://en.wikipedia.org/wiki/The_Last_Airbender_(2010_film)#:~:text=However%2C%20James%20Newton%20Howard's,domestically%20and%20%24319%20million%20worldwide.",,not horror
The Last Exorcism,41,2279%,22.8,1.8,41.0,100.0%,26.7,65.1%,"67,730,000",2010,2010's,,,,horror
The Last Jedi,1333,420%,4.2,317,620,46.5%,713,53.5%,"1,332,698,830",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=215,https://en.wikipedia.org/wiki/Star_Wars:_The_Last_Jedi,,not horror
The Last Samurai,455,325%,3.2,140,111,24.4%,344,75.6%,"454,627,263",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=469,https://en.wikipedia.org/wiki/The_Last_Samurai,,not horror
The Lazarus Effect,64,1943%,19.4,3.3,25.8,40.2%,38.3,59.8%,"64,110,728",2015,2010's,,,,horror
The Legend of Tarzan,357,198%,2.0,180,127,35.5%,230,64.5%,"356,700,357",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=604,"https://en.wikipedia.org/wiki/The_Legend_of_Tarzan_(film)#:~:text=Reception-,Box%20office,even%20and%20justify%20a%20sequel.",,not horror
The Lego Batman Movie,312,390%,3.9,80,176,56.4%,136,43.6%,"312,136,671",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=694,"https://en.wikipedia.org/wiki/The_Lego_Batman_Movie#:~:text=The%20Lego%20Batman%20Movie%20grossed,production%20budget%20of%20%2480%20million.",,not horror
The Lego Movie,468,720%,7.2,65,258,55.1%,210,44.9%,"468,266,122",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=457,"https://en.wikipedia.org/wiki/The_Lego_Movie#:~:text=The%20Lego%20Movie%20premiered%20in,%2C%20story%2C%20humor%20and%20acting.",,not horror
The Lion King,1663,640%,6.4,260,544,32.7%,"1,120",67.3%,"1,663,250,487",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=207,https://en.wikipedia.org/wiki/The_Lion_King_(2019_film),,not horror
The Lion King,1064,2364%,23.6,45,423,39.8%,641,60.2%,"1,063,611,805",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=238,https://en.wikipedia.org/wiki/The_Lion_King,,not horror
"The Lion, the Witch and the Wardrobe",745,414%,4.1,180,292,39.2%,453,60.8%,"745,013,115",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=320,"https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe",,not horror
The Lorax,349,499%,5.0,70,214,61.4%,135,38.6%,"349,183,316",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=626,https://en.wikipedia.org/wiki/The_Lorax_(film),,not horror
The Lost World: Jurassic Park,619,847%,8.5,73,229,37.0%,390,63.0%,"618,638,999",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=368,https://en.wikipedia.org/wiki/The_Lost_World:_Jurassic_Park,,not horror
The Martian,631,584%,5.8,108,228,36.2%,402,63.8%,"630,620,818",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=359,"https://en.wikipedia.org/wiki/The_Martian_(film)#:~:text=The%20Martian%20was%20a%20financial,a%20budget%20of%20%24108%20million.",,not horror
The Mask,352,1953%,19.5,18,120,34.1%,232,65.9%,"351,583,407",1994,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=620,"https://en.wikipedia.org/wiki/The_Mask_(1994_film)#:~:text=The%20film%20grossed%20over%20%24351,Diaz%20as%20a%20leading%20lady.",,not horror
The Matrix,467,742%,7.4,63,172,36.8%,295,63.2%,"467,222,728",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=460,"https://en.wikipedia.org/wiki/The_Matrix#:~:text=The%20Matrix%20opened%20in%20theaters,%2463%20million%20budget%2C%20becoming%20the",,not horror
The Matrix Reloaded,742,495%,4.9,150,282,38.0%,460,62.0%,"741,847,937",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=322,https://en.wikipedia.org/wiki/The_Matrix_Reloaded,,not horror
The Matrix Revolutions,427,285%,2.8,150,139,32.6%,288,67.4%,"427,344,325",2003,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=496,https://en.wikipedia.org/wiki/The_Matrix_Revolutions,,not horror
The Maze Runner,348,1024%,10.2,34,102,29.4%,246,70.6%,"348,319,861",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=627,https://en.wikipedia.org/wiki/The_Maze_Runner_(film),,not horror
The Meg,531,298%,3.0,178,146,27.4%,385,72.6%,"530,517,320",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=410,https://en.wikipedia.org/wiki/The_Meg,,horror
The Mummy,416,520%,5.2,80,155,37.4%,261,62.6%,"415,933,406",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=506,https://en.wikipedia.org/wiki/The_Mummy_(1999_film),,not horror
The Mummy,409,512%,5.1,80,80,19.6%,329,80.4%,"409,231,607",2017,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=516,https://en.wikipedia.org/wiki/The_Mummy_(1999_film),,not horror
The Mummy Returns,443,452%,4.5,98,202,45.6%,241,54.4%,"443,280,904",2001,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=479,https://en.wikipedia.org/wiki/The_Mummy_Returns,,not horror
The Mummy: Tomb of the Dragon Emperor,403,278%,2.8,145,102,25.4%,301,74.6%,"403,449,830",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=525,https://www.google.com/search?q=the+mummy+tomb+of+the+dragon+emperor+budget&oq=the+mummy+tomb+of+the+dragon+emperor+budget&aqs=chrome..69i57j0i390l3.4832j1j4&sourceid=chrome&ie=UTF-8,,not horror
The Nun,366,1662%,16.6,22,117,32.1%,248,67.9%,"365,582,797",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=585,https://en.wikipedia.org/wiki/The_Nun_(2018_film),,not horror
The Passion of the Christ,612,2040%,20.4,30,371,60.6%,241,39.4%,"612,054,506",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=370,https://en.wikipedia.org/wiki/The_Passion_of_the_Christ,,not horror
The Perfect Storm,329,274%,2.7,120,183,55.6%,146,44.4%,"328,718,434",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=661,https://en.wikipedia.org/wiki/The_Perfect_Storm_(film),,not horror
The Phantom Menace,1027,893%,8.9,115,475,46.2%,553,53.8%,"1,027,082,707",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=245,https://en.wikipedia.org/wiki/Star_Wars:_Episode_I_%E2%80%93_The_Phantom_Menace,,not horror
The Polar Express,315,185%,1.9,170,189,59.9%,126,40.1%,"315,249,768",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=686,https://en.wikipedia.org/wiki/The_Polar_Express_(film),,not horror
The Proposal,317,793%,7.9,40,164,51.7%,153,48.3%,"317,375,031",2009,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=683,https://en.wikipedia.org/wiki/The_Proposal_(2009_film),,not horror
The Purge,89,2978%,29.8,3.0,64.5,72.2%,24.9,27.8%,"89,328,627",2013,2010's,,,,horror
The Purge: Anarchy,111,1229%,12.3,9.0,72.0,65.1%,38.6,34.9%,"110,602,999",2014,2010's,,,,horror
The Purge: Election Year,118,1184%,11.8,10.0,79.0,66.7%,39.4,33.3%,"118,416,945",2016,2010's,,,,horror
The Revenant,533,395%,3.9,135,184,34.5%,349,65.5%,"532,950,503",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=409,https://en.wikipedia.org/wiki/The_Revenant_(2015_film),,not horror
The Rise of Skywalker,1074,391%,3.9,275,515,48.0%,559,52.0%,"1,074,149,279",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=234,"https://en.wikipedia.org/wiki/Star_Wars:_The_Rise_of_Skywalker#:~:text=With%20an%20estimated%20budget%20of,United%20States%20on%20December%2020.",,not horror
The Rock,335,447%,4.5,75,134,40.0%,201,60.0%,"335,062,621",1996,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=647,"https://en.wikipedia.org/wiki/The_Rock_(film)#:~:text=Produced%20on%20a%20%2475%20million,U.S.%20film%20worldwide%20that%20year.",,not horror
The Secret Life of Pets,894,1192%,11.9,75,368,41.2%,526,58.8%,"894,328,469",2016,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=271,https://www.imdb.com/title/tt2709768/,,not horror
The Secret Life of Pets 2,431,575%,5.7,75,159,36.9%,272,63.1%,"431,058,056",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=492,"https://en.wikipedia.org/wiki/The_Secret_Life_of_Pets#:~:text=Reception-,Box%20office,production%20budget%20of%20%2475%20million.",,not horror
The Simpsons Movie,536,715%,7.2,75,183,34.1%,353,65.9%,"536,414,293",2007,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=408,https://en.wikipedia.org/wiki/The_Simpsons_Movie,,not horror
The Sixth Sense,673,1682%,16.8,40,294,43.6%,379,56.4%,"672,806,432",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=343,https://en.wikipedia.org/wiki/The_Sixth_Sense,,not horror
The Smurfs,564,512%,5.1,110,143,25.3%,421,74.7%,"563,749,323",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=389,https://en.wikipedia.org/wiki/The_Smurfs_(film),,not horror
The Smurfs 2,348,331%,3.3,105,71,20.4%,277,79.6%,"347,545,360",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=628,https://en.wikipedia.org/wiki/The_Smurfs_2,,not horror
The SpongeBob Movie: Sponge Out of Water,325,439%,4.4,74,163,50.1%,162,49.9%,"325,186,032",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=670,"https://en.wikipedia.org/wiki/The_SpongeBob_Movie:_Sponge_Out_of_Water#:~:text=The%20SpongeBob%20Movie%3A%20Sponge%20Out%20of%20Water%20grossed%20%24162.9%20million,a%20budget%20of%20%2474%20million.",,not horror
The Twilight Saga: Eclipse,699,1027%,10.3,68,301,43.0%,398,57.0%,"698,509,825",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=335,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Eclipse,,not horror
The Visit,91,1819%,18.2,5.0,64.7,71.2%,26.2,28.8%,"90,937,439",2015,2010's,,,,horror
The Voyage of the Dawn Treader,416,268%,2.7,155,104,25.1%,311,74.9%,"415,686,217",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=507,https://en.wikipedia.org/wiki/The_Chronicles_of_Narnia:_The_Voyage_of_the_Dawn_Treader,,not horror
The Witch,40,1347%,13.5,3.0,25.1,62.2%,15.3,37.8%,"40,423,945",2016,2010's,,,,horror
The Wolf of Wall Street,407,407%,4.1,100,117,28.7%,290,71.3%,"406,878,233",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=522,https://www.imdb.com/title/tt0993846/,,not horror
The Wolverine,415,314%,3.1,132,133,32.0%,282,68.0%,"414,828,246",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=509,https://en.wikipedia.org/wiki/The_Wolverine_(film),,not horror
The World Is Not Enough,362,268%,2.7,135,127,35.1%,235,64.9%,"361,832,400",1999,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=594,https://en.wikipedia.org/wiki/The_World_Is_Not_Enough,,not horror
There's Something About Mary,370,1608%,16.1,23,176,47.7%,193,52.3%,"369,884,651",1998,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=577,https://en.wikipedia.org/wiki/There%27s_Something_About_Mary,,not horror
Thor,449,300%,3.0,150,181,40.3%,268,59.7%,"449,326,618",2011,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=474,https://en.wikipedia.org/wiki/Thor_(film),,not horror
Thor: Love and Thunder,761,304%,3.0,250,343,45.1%,418,54.9%,"760,928,081",2022,2020's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=310,"https://en.wikipedia.org/wiki/Thor:_Love_and_Thunder#:~:text=The%20film's%20production%20budget%20of,Phase%20Four%20of%20the%20MCU.",,not horror
