title ,worldwide gross (m),% budget recovered,X times budget recovered,budget  (millions),domestic gross (m),domestic %,international gross (m),% of gross from international,worldwide gross,year,decade,source,budget source,force label,horror
Lucy,469,1203%,12.0,39,127,27.0%,342,73.0%,"469,058,574",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=456,"https://en.wikipedia.org/wiki/Lucy_(2014_film)#:~:text=The%20film%20was%20released%20on,the%20budget%20of%20%2439%20million.",,not horror
Mad Max: Fury Road,390,211%,2.1,185,154,39.6%,235,60.4%,"389,561,515",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=543,"https://en.wikipedia.org/wiki/Mad_Max:_Fury_Road#:~:text=It%20grossed%20%24375.7%20million%20at,%24154.6%E2%80%93185.1%20million%20production%20budget.",,not horror
Madagascar,542,723%,7.2,75,194,35.7%,348,64.3%,"542,063,846",2005,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=404,https://www.google.com/search?q=madagascar+movie+budget&oq=madagascar+movie+budget&aqs=chrome..69i57j0i15i22i30j0i390l2.3457j0j4&sourceid=chrome&ie=UTF-8,,not horror
Madagascar 3: Europe's Most Wanted,747,515%,5.2,145,216,29.0%,531,71.0%,"746,921,274",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=317,https://en.wikipedia.org/wiki/Madagascar_3:_Europe%27s_Most_Wanted,,not horror
Madagascar: Escape 2 Africa,604,403%,4.0,150,180,29.8%,424,70.2%,"603,900,354",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=374,"https://en.wikipedia.org/wiki/Madagascar:_Escape_2_Africa#:~:text=Released%20on%20November%207%2C%202008,died%20before%20the%20film's%20release.",,not horror
Magic Mike,167,2389%,23.9,7.0,113.7,68.0%,53.5,32.0%,"167,221,571",2012,2010's,,,,not horror
Maleficent,758,421%,4.2,180,241,31.8%,517,68.2%,"758,411,779",2014,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=313,"https://en.wikipedia.org/wiki/Maleficent_(film)#:~:text=COVID%2D19%20pandemic.-,Box%20office,a%20budget%20of%20%24180%20million.",,not horror
Maleficent: Mistress of Evil,492,266%,2.7,185,114,23.2%,378,76.8%,"491,730,089",2019,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=434,"https://en.wikipedia.org/wiki/Maleficent_(film)#:~:text=COVID%2D19%20pandemic.-,Box%20office,a%20budget%20of%20%24180%20million.",,not horror
Mamma Mia!,611,1175%,11.8,52,144,23.6%,467,76.4%,"611,257,819",2008,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=371,"https://en.wikipedia.org/wiki/Mamma_Mia!_(film)#:~:text=The%20film%20grossed%20%24611%20million,highest%2Dgrossing%20film%20of%202008.",,not horror
Mamma Mia! Here We Go Again,402,536%,5.4,75,121,30.0%,282,70.0%,"402,264,843",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=529,https://en.wikipedia.org/wiki/Mamma_Mia!_Here_We_Go_Again,,not horror
Man of Steel,668,297%,3.0,225,291,43.6%,377,56.4%,"668,045,518",2013,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=344,https://en.wikipedia.org/wiki/Man_of_Steel_(film),,not horror
Mary Poppins Returns,350,269%,2.7,130,172,49.2%,178,50.8%,"349,546,142",2018,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=624,https://www.imdb.com/title/tt5028340/,,not horror
Maze Runner: The Scorch Trials,312,512%,5.1,61,82,26.2%,231,73.8%,"312,296,056",2015,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=692,"https://en.wikipedia.org/wiki/Maze_Runner:_The_Scorch_Trials#:~:text=Reception-,Box%20office,a%20budget%20of%20%2461%20million.",,not horror
Me Before You,208,1039%,10.4,20.0,56.2,27.1%,151.6,72.9%,"207,845,075",2016,2010's,,,,not horror
Meet the Fockers,523,653%,6.5,80,279,53.4%,243,46.6%,"522,657,936",2004,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=418,https://en.wikipedia.org/wiki/Meet_the_Fockers,,not horror
Meet the Parents,330,601%,6.0,55,166,50.3%,164,49.7%,"330,444,045",2000,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=658,https://en.wikipedia.org/wiki/Meet_the_Parents,,not horror
Megamind,322,248%,2.5,130,148,46.1%,173,53.9%,"321,885,765",2010,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=672,"https://en.wikipedia.org/wiki/Megamind#:~:text=With%20a%20budget%20of%20%24130,animated%20films%20of%20the%202010s.",,not horror
Men in Black,589,655%,6.5,90,251,42.5%,339,57.5%,"589,390,539",1997,1990's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=378,https://en.wikipedia.org/wiki/Men_in_Black_(1997_film),,not horror
Men in Black 3,654,291%,2.9,225,179,27.4%,475,72.6%,"654,213,485",2012,2010's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=352,https://en.wikipedia.org/wiki/Men_in_Black_3,,not horror
Men in Black II,445,318%,3.2,140,194,43.5%,251,56.5%,"445,135,288",2002,2000's,https://www.boxofficemojo.com/chart/ww_top_lifetime_gross/?area=XWW&offset=477,"https://en.wikipedia.org/wiki/Men_in_Black_II#:~:text=Men%20in%20Black%20II%20was,in%20Black%3A%20International%20in%202019.",,not horror
